periodo,componente,promedio,minimo,maximo,entidades
2022-09,Capital requerido por riesgo de mercado,251153.69,251153.69,251153.69,1
2022-09,Capital primario,208496.15,208496.15,208496.15,1
2022-09,Ajuste,-1597.03,-1597.03,-1597.03,1
2022-09,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,1624996.73,1624996.73,1624996.73,1
2022-09,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1373843.04,1373843.04,1373843.04,1
2022-08,Ajuste,-1592.48,-1592.48,-1592.48,1
2022-08,Capital requerido por riesgo de mercado,271583.07,271583.07,271583.07,1
2022-08,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,1625028.34,1625028.34,1625028.34,1
2022-08,Capital primario,208113.85,208113.85,208113.85,1
2022-08,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1353445.26,1353445.26,1353445.26,1
2022-08,Capital secundario,51730.0,51730.0,51730.0,1
2022-08,Sobrante o faltante,95748.53,95748.53,95748.53,1
2022-08,Índice de solvencia,15.89,15.89,15.89,1
2022-08,Patrimonio técnico ajustado,258251.37,258251.37,258251.37,1
2022-07,Capital primario,208113.85,208113.85,208113.85,1
2022-07,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1337795.35,1337795.35,1337795.35,1
